Card ID,Card Name,Expansion,Collection No.,Stage/Type,Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,hp_int,retreat_int,moves_json,move_count
1,Basic {G} Energy,SVE,1,Basic Energy,,,,,{G},,,,,,[],0
2,Basic {R} Energy,SVE,2,Basic Energy,,,,,{R},,,,,,[],0
3,Basic {W} Energy,SVE,3,Basic Energy,,,,,{W},,,,,,[],0
4,Basic {L} Energy,SVE,4,Basic Energy,,,,,{L},,,,,,[],0
5,Basic {P} Energy,SVE,5,Basic Energy,,,,,{P},,,,,,[],0
6,Basic {F} Energy,SVE,6,Basic Energy,,,,,{F},,,,,,[],0
7,Basic {D} Energy,SVE,7,Basic Energy,,,,,{D},,,,,,[],0
8,Basic {M} Energy,SVE,8,Basic Energy,,,,,{M},,,,,,[],0
9,Boomerang Energy,TWM,166,Special Energy,,,,,{C},,,,,,"[{""card_id"": ""9"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {C} Energy.\n\nIf this card is discarded by an effect of an attack used by the Pokemon this card is attached to, attach this card from your discard pile to that Pokemon after attacking.""}]",1
10,Neo Upper Energy,TEF,162,Special Energy,ACE SPEC,,,,{A}{A},,,,,,"[{""card_id"": ""10"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {C} Energy.\n\nIf this card is attached to a Stage 2 Pokemon, this card provides every type of Energy but provides only 2 Energy at a time.""}]",1
11,Mist Energy,TEF,161,Special Energy,,,,,{C},,,,,,"[{""card_id"": ""11"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {C} Energy.\n\nPrevent all effects of attacks used by your opponent’s Pokemon done to the Pokemon this card is attached to. (Existing effects are not removed. Damage is not an effect.)""}]",1
12,Legacy Energy,TWM,167,Special Energy,ACE SPEC,,,,{A},,,,,,"[{""card_id"": ""12"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides every type of Energy but provides only 1 Energy at a time.\n\nIf the Pokemon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokemon, that player takes 1 fewer Prize card. This effect of your Legacy Energy only works once per game.""}]",1
13,Enriching Energy,SSP,191,Special Energy,ACE SPEC,,,,{C},,,,,,"[{""card_id"": ""13"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {C} Energy.\n\nWhen you attach this card from your hand to a Pokemon, draw 4 cards.""}]",1
14,Spiky Energy,JTG,159,Special Energy,,,,,{C},,,,,,"[{""card_id"": ""14"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {C} Energy.\n\nIf the Pokemon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokemon (even if this Pokemon is Knocked Out), put 2 damage counters on the Attacking Pokemon.""}]",1
15,Team Rocket's Energy,DRI,182,Special Energy,,,,,{Team Rocket}{Team Rocket},,,,,,"[{""card_id"": ""15"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""This card can only be attached to a Team Rocket’s Pokemon. If this card is attached to anything other than a Team Rocket’s Pokemon, discard this card.\n\nAs long as this card is attached to a Pokemon, it provides 2 in any combination of {P} Energy and {D} Energy.""}]",1
16,Prism Energy,BLK,86,Special Energy,,,,,{A},,,,,,"[{""card_id"": ""16"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {C} Energy.\n\nIf this card is attached to a Basic Pokemon, this card provides every type of Energy but provides only 1 Energy at a time.""}]",1
17,Ignition Energy,WHT,86,Special Energy,,,,,{C}{C}{C},,,,,,"[{""card_id"": ""17"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""If this card is attached to 1 of your Pokemon, discard it at the end of your turn.\n\nAs long as this card is attached to a Pokemon, it provides {C} Energy.\n\nIf this card is attached to an Evolution Pokemon, it provides {C}{C}{C} Energy instead.""}]",1
18,Grow Grass Energy,POR,86,Special Energy,,,,,{G},,,,,,"[{""card_id"": ""18"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {G} Energy.\nThe {G} Pokemon this card is attached to gets +20 HP.""}]",1
19,Telepath Psychic Energy,POR,87,Special Energy,,,,,{P},,,,,,"[{""card_id"": ""19"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {P} Energy.\nWhen you attach this card from your hand to a {P} Pokemon, search your deck for up to 2 Basic {P} Pokemon and put them onto your Bench. Then, shuffle your deck.""}]",1
20,Rock Fighting Energy,POR,88,Special Energy,,,,,{F},,,,,,"[{""card_id"": ""20"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this card is attached to a Pokemon, it provides {F} Energy.\nPrevent all effects of attacks used by your opponent’s Pokemon done to the {F} Pokemon this card is attached to. (Existing effects are not removed. Damage is not an effect.)""}]",1
21,Scrafty,PROMO,188,Stage 1 Pokemon,,,Scraggy,120,{D},{G},,1,120,1,"[{""card_id"": ""21"", ""move_name"": ""Nab ’n’ Dash"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a number of cards up to the number of your Benched Pokemon and put them into your hand. Then, shuffle your deck.""}, {""card_id"": ""21"", ""move_name"": ""High Jump Kick"", ""cost"": ""{D}●●"", ""damage"": ""100"", ""damage_int"": 100, ""effect"": """"}]",2
