Card ID,Card Name,Expansion,Collection No.,Stage/Type,Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,hp_int,retreat_int,moves_json,move_count
1077,Roto-Stick,PRE,127,Item,,,,,,,,,,,"[{""card_id"": ""1077"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Look at the top 4 cards of your deck. You may reveal any number of Supporter cards you find there and put them into your hand. Shuffle the other cards back into your deck.""}]",1
1078,Hole-Digging Shovel,POR,74,Item,,,,,,,,,,,"[{""card_id"": ""1078"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard the top 2 cards of your deck.""}]",1
1079,Rare Candy,SVI,191,Item,,,,,,,,,,,"[{""card_id"": ""1079"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Choose 1 of your Basic Pokemon in play. If you have a Stage 2 card in your hand that evolves from that Pokemon, put that card onto the Basic Pokemon to evolve it, skipping the Stage 1. You can’t use this card during your first turn or on a Basic Pokemon that was put into play this turn.""}]",1
1080,Unfair Stamp,TWM,165,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1080"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""You can use this card only if any of your Pokemon were Knocked Out during your opponent’s last turn.\n\nEach player shuffles their hand into their deck. Then, you draw 5 cards, and your opponent draws 2 cards.""}]",1
1081,Enhanced Hammer,TWM,148,Item,,,,,,,,,,,"[{""card_id"": ""1081"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard a Special Energy from 1 of your opponent’s Pokemon.""}]",1
1082,Hyper Aroma,TWM,152,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1082"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 3 Stage 1 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.""}]",1
1083,Love Ball,,156,Item,,,,,,,,,,,"[{""card_id"": ""1083"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Pokemon with the same name as 1 of your opponent’s Pokemon in play, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1084,Boxed Order,TEF,143,Item,,,,,,,,,,,"[{""card_id"": ""1084"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 2 Item cards, reveal them, and put them into your hand. Then, shuffle your deck. Your turn ends.""}]",1
1085,Awakening Drum,TEF,141,Item,ACE SPEC,Ancient,,,,,,,,,"[{""card_id"": ""1085"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Draw a card for each of your Ancient Pokemon in play.""}]",1
1086,Buddy-Buddy Poffin,TEF,144,Item,,,,,,,,,,,"[{""card_id"": ""1086"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 2 Basic Pokemon with 70 HP or less and put them onto your Bench. Then, shuffle your deck.""}]",1
1087,Hand Trimmer,TEF,150,Item,,,,,,,,,,,"[{""card_id"": ""1087"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Each player discards cards from their hand until they have 5 cards in their hand. Your opponent discards first. (If a player has 5 or fewer cards in their hand, they do not discard.)""}]",1
1088,Prime Catcher,TEF,157,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1088"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Switch in 1 of your opponent’s Benched Pokemon to the Active Spot. If you do, switch your Active Pokemon with 1 of your Benched Pokemon.""}]",1
1089,Reboot Pod,TEF,158,Item,ACE SPEC,Future,,,,,,,,,"[{""card_id"": ""1089"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Attach a Basic Energy card from your discard pile to each of your Future Pokemon.""}]",1
1090,Ogre’s Mask,TWM,159,Item,,,,,,,,,,,"[{""card_id"": ""1090"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Choose a Pokemon {ex} in your discard pile that has “Ogerpon” in its name, and switch it with 1 of your Pokemon {ex} in play that has “Ogerpon” in its name. Any attached cards, damage counters, Special Conditions, turns in play, and any other effects remain on the new Pokemon.""}]",1
1091,Accompanying Flute,TWM,142,Item,,,,,,,,,,,"[{""card_id"": ""1091"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Reveal the top 5 cards of your opponent’s deck. You may choose any number of Basic Pokemon you find there and put those Pokemon onto their Bench. Your opponent shuffles the other cards back into their deck.""}]",1
1092,Secret Box,TWM,163,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1092"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""You can use this card only if you discard 3 other cards from your hand.\n\nSearch your deck for an Item card, a Pokemon Tool card, a Supporter card, and a Stadium card, reveal them, and put them into your hand. Then, shuffle your deck.""}]",1
1093,Scoop Up Cyclone,TWM,162,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1093"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Put 1 of your Pokemon and all attached cards into your hand.""}]",1
1094,Bug Catching Set,TWM,143,Item,,,,,,,,,,,"[{""card_id"": ""1094"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Look at the top 7 cards of your deck. You may reveal up to 2 in any combination of {G} Pokemon and Basic {G} Energy cards you find there and put them into your hand. Shuffle the other cards back into your deck.""}]",1
1095,Dangerous Laser,SFA,58,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1095"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Your opponent’s Active Pokemon is now Burned and Confused.""}]",1
1096,Poké Vital A,SFA,62,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1096"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Heal 150 damage from 1 of your Pokemon.\n\nThis card can’t be put into your hand or deck from the discard pile.""}]",1
1097,Night Stretcher,SFA,61,Item,,,,,,,,,,,"[{""card_id"": ""1097"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Put a Pokemon or a Basic Energy card from your discard pile into your hand.""}]",1
1098,Glass Trumpet,SCR,135,Item,,,,,,,,,,,"[{""card_id"": ""1098"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""You can use this card only if you have any Tera Pokemon in play.\n\nChoose up to 2 of your Benched {C} Pokemon and attach a Basic Energy card from your discard pile to each of them.""}]",1
1099,Antique Root Fossil,SCR,130,Item,,Fossil,Evolve to Lileep,60,,,,,60,,"[{""card_id"": ""1099"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Play this card as if it were a 60-HP Basic {C} Pokemon. This card can’t be affected by any Special Conditions and can’t retreat.\n\nAt any time during your turn, you may discard this card from play.""}, {""card_id"": ""1099"", ""move_name"": ""[Ability] Primal Root"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is in the Active Spot, attacks used by your opponent’s Basic Pokemon cost {C} more.""}]",2
1100,Energy Search Pro,SSP,176,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1100"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for any number of Basic Energy cards of different types, reveal them, and put them into your hand. Then, shuffle your deck.""}]",1
1101,Call Bell,SSP,165,Item,,,,,,,,,,,"[{""card_id"": ""1101"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""You can use this card only if you go second, and only during your first turn.\n\nSearch your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1102,Dusk Ball,SSP,175,Item,,,,,,,,,,,"[{""card_id"": ""1102"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Look at the bottom 7 cards of your deck. You may reveal a Pokemon you find there and put it into your hand. Shuffle the other cards back into your deck.""}]",1
1103,Meddling Memo,SSP,181,Item,,,,,,,,,,,"[{""card_id"": ""1103"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Your opponent counts the cards in their hand, shuffles those cards, and puts them on the bottom of their deck. If they do, they draw that many cards.""}]",1
1104,Megaton Blower,SSP,182,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1104"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard all Pokemon Tools and Special Energy from all of your opponent’s Pokemon, and discard a Stadium in play.""}]",1
1105,Dragon Elixir,SSP,172,Item,,,,,,,,,,,"[{""card_id"": ""1105"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Heal 60 damage from your Active {N} Pokemon.""}]",1
1106,Deduction Kit,SSP,171,Item,,,,,,,,,,,"[{""card_id"": ""1106"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Look at the top 3 cards of your deck and put them back in any order, or shuffle them and put them on the bottom of your deck.""}]",1
1107,Scramble Switch,SSP,186,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1107"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Switch your Active Pokemon with 1 of your Benched Pokemon. If you do, you may move any amount of Energy from the Pokemon you moved to your Bench to the new Active Pokemon.""}]",1
1108,Chill Teaser Toy,SSP,166,Item,,,,,,,,,,,"[{""card_id"": ""1108"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""You can use this card only if you go second, and only during your first turn.\nPut an Energy attached to 1 of your opponent’s Pokemon into their hand.""}]",1
1109,Miracle Headset,SSP,183,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1109"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Put up to 2 Supporter cards from your discard pile into your hand.""}]",1
1110,Max Rod,PRE,116,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1110"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Put up to 5 in any combination of Pokemon and Basic Energy cards from your discard pile into your hand.""}]",1
1111,Treasure Tracker,PRE,131,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1111"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 5 Pokemon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck.""}]",1
1112,Super Potion,JTG,158,Item,,,,,,,,,,,"[{""card_id"": ""1112"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Heal 60 damage from 1 of your Pokemon. If you healed any damage in this way, discard an Energy from that Pokemon.""}]",1
1113,N’s PP Up,JTG,153,Item,,,,,,,,,,,"[{""card_id"": ""1113"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Attach a Basic Energy card from your discard pile to 1 of your Benched N’s Pokemon.""}]",1
1114,Redeemable Ticket,JTG,156,Item,,,,,,,,,,,"[{""card_id"": ""1114"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Count your Prize cards, shuffle them, and put them on the bottom of your deck. Then, take that many cards from the top of your deck and put them face down as your Prize cards.""}]",1
1115,Hop’s Bag,JTG,147,Item,,,,,,,,,,,"[{""card_id"": ""1115"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 2 Basic Hop’s Pokemon and put them onto your Bench. Then, shuffle your deck.""}]",1
1116,Energy Switch,SVI,173,Item,,,,,,,,,,,"[{""card_id"": ""1116"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Move a Basic Energy from 1 of your Pokemon to another of your Pokemon.""}]",1
1117,Potion,SVI,188,Item,,,,,,,,,,,"[{""card_id"": ""1117"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Heal 30 damage from 1 of your Pokemon.""}]",1
1118,Energy Retrieval,SVI,171,Item,,,,,,,,,,,"[{""card_id"": ""1118"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Put up to 2 Basic Energy cards from your discard pile into your hand.""}]",1
1119,Energy Search,SVI,172,Item,,,,,,,,,,,"[{""card_id"": ""1119"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Basic Energy card, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1120,Crushing Hammer,SVI,168,Item,,,,,,,,,,,"[{""card_id"": ""1120"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Flip a coin. If heads, discard an Energy from 1 of your opponent’s Pokemon.""}]",1
1121,Ultra Ball,SVI,196,Item,,,,,,,,,,,"[{""card_id"": ""1121"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""You can use this card only if you discard 2 other cards from your hand.\n\nSearch your deck for a Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1122,Pokégear 3.0,SVI,186,Item,,,,,,,,,,,"[{""card_id"": ""1122"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Look at the top 7 cards of your deck. You may reveal a Supporter card you find there and put it into your hand. Shuffle the other cards back into your deck.""}]",1
1123,Switch,SVI,194,Item,,,,,,,,,,,"[{""card_id"": ""1123"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Switch your Active Pokemon with 1 of your Benched Pokemon.""}]",1
1124,Pokemon Catcher,SVI,187,Item,,,,,,,,,,,"[{""card_id"": ""1124"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Flip a coin. If heads, switch in 1 of your opponent’s Benched Pokemon to the Active Spot.""}]",1
1125,Master Ball,TEF,153,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1125"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1126,Precious Trolley,SSP,185,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1126"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for any number of Basic Pokemon and put them onto your Bench. Then, shuffle your deck.""}]",1
1127,Tera Orb,SSP,189,Item,,,,,,,,,,,"[{""card_id"": ""1127"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Tera Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1128,Brilliant Blender,SSP,164,Item,ACE SPEC,,,,,,,,,,"[{""card_id"": ""1128"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 5 cards and discard them. Then, shuffle your deck.""}]",1
1129,Sacred Ash,DRI,168,Item,,,,,,,,,,,"[{""card_id"": ""1129"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Shuffle up to 5 Pokemon from your discard pile into your deck.""}]",1
1130,Arven's Sandwich,DRI,161,Item,,,,,,,,,,,"[{""card_id"": ""1130"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Heal 30 damage from your Active Pokemon. If that Pokemon is an Arven’s Pokemon, heal 100 damage from it instead.""}]",1
1131,Team Rocket's Bother-Bot,DRI,172,Item,,,,,,,,,,,"[{""card_id"": ""1131"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Turn 1 of your opponent’s face-down Prize cards face up and choose a random card from your opponent’s hand. Your opponent reveals that card. You may have your opponent switch those cards. (That Prize card remains face up for the rest of the game.)""}]",1
1132,Team Rocket's Great Ball,DRI,175,Item,,,,,,,,,,,"[{""card_id"": ""1132"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Trainer card, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1133,Team Rocket's Venture Bomb,DRI,179,Item,,,,,,,,,,,"[{""card_id"": ""1133"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Flip a coin. If heads, put 2 damage counters on 1 of your opponent’s Pokemon. If tails, put 2 damage counters on your Active Pokemon.""}]",1
1134,Team Rocket's Transceiver,DRI,178,Item,,,,,,,,,,,"[{""card_id"": ""1134"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Supporter card that has “Team Rocket” in its name, reveal it, and put it into your hand. Then, shuffle your deck.""}]",1
1135,Energy Coin,BLK,81,Item,,,,,,,,,,,"[{""card_id"": ""1135"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Flip 2 coins. If both of them are heads, search your deck for a Basic Energy card and attach it to 1 of your Pokemon. Then, shuffle your deck.""}]",1
1136,Antique Cover Fossil,BLK,80,Item,,Fossil,Evolve to Tirtouga,60,,,,,60,,"[{""card_id"": ""1136"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Play this card as if it were a 60-HP Basic {C} Pokemon. This card can’t be affected by any Special Conditions and can’t retreat.\n\nAt any time during your turn, you may discard this card from play.""}, {""card_id"": ""1136"", ""move_name"": ""[Ability] Protective Cover"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Prevent all effects of attacks used by your opponent’s Pokemon done to this Pokemon. (Damage is not an effect.)""}]",2
1137,Tool Scrapper,WHT,85,Item,,,,,,,,,,,"[{""card_id"": ""1137"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Choose up to 2 Pokemon Tools attached to Pokemon (yours or your opponent’s) and discard them.""}]",1
1138,Antique Plume Fossil,WHT,79,Item,,Fossil,Evolve to Archen,60,,,,,60,,"[{""card_id"": ""1138"", ""move_name"": """", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Play this card as if it were a 60-HP Basic {C} Pokemon. This card can’t be affected by any Special Conditions and can’t retreat.\n\nAt any time during your turn, you may discard this card from play.""}, {""card_id"": ""1138"", ""move_name"": ""[Ability] Plume Protection"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks from your opponent’s Pokemon.""}]",2
