162 Slowpoke |  | Basic Pokemon
163 Slowking |  | Stage 1 Pokemon
756 Mega Kangaskhan ex |  | Basic Pokemon
184 Latias ex |  | Basic Pokemon
144 Kyurem |  | Basic Pokemon
276 Metagross |  | Stage 2 Pokemon
1071 Meowth ex |  | Basic Pokemon
956 Zeraora |  | Basic Pokemon
272 Lillie’s Clefairy ex | Trainer's Pokemon（Lillie） | Basic Pokemon
140 Fezandipiti ex |  | Basic Pokemon
1227 Lillie's Determination |  | Supporter
1188 Ciphermaniac’s Codebreaking | Future | Supporter
1152 Poké Pad |  | Item
1121 Ultra Ball |  | Item
1146 Wondrous Patch |  | Item
1097 Night Stretcher |  | Item
1092 Secret Box |  | Item
1123 Switch |  | Item
1175 Brave Bangle |  | Pokemon Tool
1156 Lucky Helmet |  | Pokemon Tool
1248 Academy at Night |  | Stadium
19 Telepath Psychic Energy |  | Special Energy
5 Basic {P} Energy |  | Basic Energy
9 Boomerang Energy |  | Special Energy
